key_value,hana_count,dremio_count,difference,match
254000011043,3,3,0,True
254000011044,3,3,0,True
254000011292,3,3,0,True
254000011046,3,3,0,True
254000011047,3,3,0,True
254000011048,3,3,0,True
254000011049,3,3,0,True
254000011050,3,3,0,True
254000011051,3,3,0,True
254000011052,3,3,0,True
254000011053,3,3,0,True
254000011054,3,3,0,True
254000011055,3,3,0,True
254000011056,3,3,0,True
254000011045,3,3,0,True
254000011009,3,3,0,True
254000011010,3,3,0,True
254000011011,3,3,0,True
254000011012,3,3,0,True
254000011013,3,3,0,True
254000011014,3,3,0,True
254000011015,3,3,0,True
254000011016,3,3,0,True
254000011017,3,3,0,True
254000011018,3,3,0,True
254000011019,3,3,0,True
254000011033,3,3,0,True
254000011021,3,3,0,True
254000011022,3,3,0,True
254000011023,3,3,0,True
254000011024,3,3,0,True
254000011025,3,3,0,True
254000011026,3,3,0,True
254000011027,3,3,0,True
254000011028,3,3,0,True
254000011029,3,3,0,True
254000011030,3,3,0,True
254000011031,3,3,0,True
254000011032,3,3,0,True
254000011020,3,3,0,True
254000011083,3,3,0,True
254000011084,3,3,0,True
254000011085,3,3,0,True
254000011086,3,3,0,True
254000011087,3,3,0,True
254000011088,3,3,0,True
254000011089,3,3,0,True
254000011090,3,3,0,True
254000011091,3,3,0,True
254000011092,3,3,0,True
254000011093,3,3,0,True
254000011057,3,3,0,True
254000011095,3,3,0,True
254000011096,3,3,0,True
254000011097,3,3,0,True
254000011098,3,3,0,True
254000011099,3,3,0,True
254000011100,3,3,0,True
254000011101,3,3,0,True
254000011102,3,3,0,True
254000011103,3,3,0,True
254000011104,3,3,0,True
254000011105,3,3,0,True
254000011106,3,3,0,True
254000011094,3,3,0,True
254000011058,3,3,0,True
254000011059,3,3,0,True
254000011060,3,3,0,True
254000011061,3,3,0,True
254000011062,3,3,0,True
254000011063,3,3,0,True
254000011064,3,3,0,True
254000011065,3,3,0,True
254000011066,3,3,0,True
254000011067,3,3,0,True
254000011068,3,3,0,True
254000011082,3,3,0,True
254000011070,3,3,0,True
254000011071,3,3,0,True
254000011072,3,3,0,True
254000011073,3,3,0,True
254000011074,3,3,0,True
254000011075,3,3,0,True
254000011076,3,3,0,True
254000011077,3,3,0,True
254000011078,3,3,0,True
254000011079,3,3,0,True
254000011080,3,3,0,True
254000011081,3,3,0,True
254000011069,3,3,0,True
254000010935,3,3,0,True
254000010936,3,3,0,True
254000010937,3,3,0,True
254000010938,3,3,0,True
254000010939,3,3,0,True
254000010940,3,3,0,True
254000010941,3,3,0,True
254000010942,3,3,0,True
254000010943,3,3,0,True
254000010944,3,3,0,True
254000010945,3,3,0,True
254000011008,3,3,0,True
254000010947,3,3,0,True
254000010948,3,3,0,True
254000010949,3,3,0,True
254000010950,3,3,0,True
254000010951,3,3,0,True
254000010952,3,3,0,True
254000010953,3,3,0,True
254000010954,3,3,0,True
254000010955,3,3,0,True
254000010956,3,3,0,True
254000010957,3,3,0,True
254000010946,3,3,0,True
254000010910,3,3,0,True
254000010911,3,3,0,True
254000010912,3,3,0,True
254000010913,3,3,0,True
254000010914,3,3,0,True
254000010915,3,3,0,True
254000010916,3,3,0,True
254000010917,4,4,0,True
254000010918,1,1,0,True
254000010919,1,1,0,True
254000010920,3,3,0,True
254000010934,3,3,0,True
254000010922,3,3,0,True
254000010923,3,3,0,True
254000010924,3,3,0,True
254000010925,3,3,0,True
254000010926,3,3,0,True
254000010927,3,3,0,True
254000010928,3,3,0,True
254000010929,3,3,0,True
254000010930,3,3,0,True
254000010931,3,3,0,True
254000010932,3,3,0,True
254000010933,3,3,0,True
254000010921,3,3,0,True
254000010984,3,3,0,True
254000010985,3,3,0,True
254000010986,3,3,0,True
254000010987,4,4,0,True
254000010988,3,3,0,True
254000010989,3,3,0,True
254000010990,3,3,0,True
254000010991,3,3,0,True
254000010992,3,3,0,True
254000010993,3,3,0,True
254000010994,3,3,0,True
254000010958,3,3,0,True
254000010996,3,3,0,True
254000010997,3,3,0,True
254000010998,3,3,0,True
254000010999,3,3,0,True
254000011000,3,3,0,True
254000011001,3,3,0,True
254000011002,3,3,0,True
254000011003,3,3,0,True
254000011004,3,3,0,True
254000011005,3,3,0,True
254000011006,3,3,0,True
254000011007,3,3,0,True
254000010995,3,3,0,True
254000010959,3,3,0,True
254000010960,3,3,0,True
254000010961,3,3,0,True
254000010962,3,3,0,True
254000010963,3,3,0,True
254000010964,3,3,0,True
254000010965,3,3,0,True
254000010966,3,3,0,True
254000010967,3,3,0,True
254000010968,3,3,0,True
254000010969,3,3,0,True
254000010983,3,3,0,True
254000010971,3,3,0,True
254000010972,3,3,0,True
254000010973,3,3,0,True
254000010974,3,3,0,True
254000010975,3,3,0,True
254000010976,3,3,0,True
254000010977,3,3,0,True
254000010978,3,3,0,True
254000010979,3,3,0,True
254000010980,3,3,0,True
254000010981,3,3,0,True
254000010982,3,3,0,True
254000010970,3,3,0,True
254000011233,3,3,0,True
254000011234,3,3,0,True
254000011235,3,3,0,True
254000011236,3,3,0,True
254000011237,3,3,0,True
254000011238,3,3,0,True
254000011239,3,3,0,True
254000011240,3,3,0,True
254000011241,3,3,0,True
254000011242,3,3,0,True
254000011243,3,3,0,True
254000011107,3,3,0,True
254000011245,3,3,0,True
254000011246,3,3,0,True
254000011247,3,3,0,True
254000011248,3,3,0,True
254000011249,3,3,0,True
254000011250,3,3,0,True
254000011251,3,3,0,True
254000011252,3,3,0,True
254000011253,3,3,0,True
254000011254,3,3,0,True
254000011255,3,3,0,True
254000011244,3,3,0,True
254000011208,3,3,0,True
254000011209,3,3,0,True
254000011210,3,3,0,True
254000011211,3,3,0,True
254000011212,3,3,0,True
254000011213,3,3,0,True
254000011214,3,3,0,True
254000011215,3,3,0,True
254000011216,3,3,0,True
254000011217,3,3,0,True
254000011218,3,3,0,True
254000011232,3,3,0,True
254000011220,3,3,0,True
254000011221,3,3,0,True
254000011222,3,3,0,True
254000011223,3,3,0,True
254000011224,3,3,0,True
254000011225,3,3,0,True
254000011226,4,4,0,True
254000011227,4,4,0,True
254000011228,3,3,0,True
254000011229,9,9,0,True
254000011230,4,4,0,True
254000011231,3,3,0,True
254000011219,3,3,0,True
254000011282,3,3,0,True
254000011283,3,3,0,True
254000011284,3,3,0,True
254000011285,3,3,0,True
254000011286,3,3,0,True
254000011287,3,3,0,True
254000011288,3,3,0,True
254000011289,3,3,0,True
254000011290,3,3,0,True
254000011291,3,3,0,True
263000012077,3,3,0,True
254000011256,3,3,0,True
254000011294,3,3,0,True
254000011295,3,3,0,True
254000011296,3,3,0,True
254000011297,3,3,0,True
254000011298,3,3,0,True
254000011299,3,3,0,True
254000011300,3,3,0,True
254000011301,3,3,0,True
254000011302,3,3,0,True
254000011303,3,3,0,True
254000011304,3,3,0,True
254000011305,3,3,0,True
254000011293,3,3,0,True
254000011257,3,3,0,True
254000011258,3,3,0,True
254000011259,3,3,0,True
254000011260,3,3,0,True
254000011261,3,3,0,True
254000011262,3,3,0,True
254000011263,3,3,0,True
254000011264,3,3,0,True
254000011265,3,3,0,True
254000011266,3,3,0,True
254000011267,3,3,0,True
254000011281,3,3,0,True
254000011269,3,3,0,True
254000011270,3,3,0,True
254000011271,3,3,0,True
254000011272,3,3,0,True
254000011273,3,3,0,True
254000011274,3,3,0,True
254000011275,3,3,0,True
254000011276,3,3,0,True
254000011277,3,3,0,True
254000011278,3,3,0,True
254000011279,3,3,0,True
254000011280,3,3,0,True
254000011268,3,3,0,True
254000011133,3,3,0,True
254000011134,3,3,0,True
254000011135,3,3,0,True
254000011136,3,3,0,True
254000011137,3,3,0,True
254000011138,3,3,0,True
254000011139,4,4,0,True
254000011140,3,3,0,True
254000011141,3,3,0,True
254000011142,3,3,0,True
254000011143,3,3,0,True
254000011207,3,3,0,True
254000011145,3,3,0,True
254000011146,3,3,0,True
254000011147,3,3,0,True
254000011148,3,3,0,True
254000011149,3,3,0,True
254000011150,3,3,0,True
254000011151,3,3,0,True
254000011152,3,3,0,True
254000011153,3,3,0,True
254000011154,3,3,0,True
254000011155,3,3,0,True
254000011156,3,3,0,True
254000011144,3,3,0,True
254000011108,3,3,0,True
254000011109,3,3,0,True
254000011110,3,3,0,True
254000011111,3,3,0,True
254000011112,3,3,0,True
254000011113,3,3,0,True
254000011114,3,3,0,True
254000011115,3,3,0,True
254000011116,4,4,0,True
254000011117,3,3,0,True
254000011118,3,3,0,True
254000011132,3,3,0,True
