schema,ulysses1,schema.1,SAP EIM
sapisu,raw_t_rise_ztf_plan_pagto_i,SAP_RISE_1,T_RISE_ZTF_PLAN_PAGTO_I
sapisu,raw_t_rise_ztf_rec_iva,SAP_RISE_1,T_RISE_ZTF_REC_IVA
sapisu,raw_t_rise_ztf_ref_send_sib,SAP_RISE_1,T_RISE_ZTF_REF_SEND_SIB
sapisu,raw_t_rise_ztm_acc_addr,SAP_RISE_1,T_RISE_ZTM_ACC_ADDR
sapisu,raw_t_rise_ztm_acc_email,SAP_RISE_1,T_RISE_ZTM_ACC_EMAIL
sapisu,raw_t_rise_ztm_comctr_acc,SAP_RISE_1,T_RISE_ZTM_COMCTR_ACC
sapisu,raw_t_rise_ztm_comctr_head,SAP_RISE_1,T_RISE_ZTM_COMCTR_HEAD
sapisu,raw_t_rise_ztm_cont_person,SAP_RISE_1,T_RISE_ZTM_CONT_PERSON
sapisu,raw_t_rise_ztm_ctr_campaign,SAP_RISE_1,T_RISE_ZTM_CTR_CAMPAIGN
sapisu,raw_t_rise_ztm_ctr_estm,SAP_RISE_1,T_RISE_ZTM_CTR_ESTM
sapisu,raw_t_rise_ztm_instln_ivr,SAP_RISE_1,T_RISE_ZTM_INSTLN_IVR
sapisu,raw_t_rise_ztm_ratetype_det,SAP_RISE_1,T_RISE_ZTM_RATETYPE_DET
sapisu,raw_t_rise_ztm_sn_prio_cust,SAP_RISE_1,T_RISE_ZTM_SN_PRIO_CUST
sapisu,raw_t_rise_zts_e_ctr,SAP_RISE_1,T_RISE_ZTS_E_CTR
sapisu,raw_t_rise_zts_g_ctr,SAP_RISE_1,T_RISE_ZTS_G_CTR
